,Company Name,Place of work,Published Date (Work at Home may also available),Skills Required
0,Pure Tech Codex Private Limited,Pune,Posted few days ago,"rest  ,  python  ,  database  ,  django  ,  debugging  ,  mongodb"
1,Surya Informatics Solutions Pvt. Ltd.,Chennai,Posted few days ago,"python  ,  web technologies  ,  linux  ,  mobile  ,  mysql  ,  angularjs  ,  javascript"
2,Gemini Solutions,Gurgaon,Posted few days ago,"python  ,  mobile  ,  svn  ,  nosql  ,  python scripting  ,  git  ,  api  ,  sql database"
3,"RESEARCH DEVELOPERS
     (More Jobs)","Delhi,  Delhi/NCR,  Noida/Greater Noida","Work from Home 
		    	
Posted a month ago","python  ,  research  ,  python programmer  ,  Machine Learning  ,  Pattern Recognition  ,  Image Processing  ,  Digital Image  ,  Signal Processing  ,  Electronic Circuits  ,  Network Analysis"
4,"Eternal HR Services Pvt Ltd
     (More Jobs)",Noida/Greater Noida,"Work from Home 
		    	
Posted 3 days ago","Python  ,  SQL"
5,TECHNOPARK TRIVANDRUM,Thiruvananthapuram,Posted 5 days ago,"python  ,  oops  ,  storage"
6,"Software Development Center - Lenze Mechatronics Pvt Ltd.
     (More Jobs)",Pune,Posted 1 day ago,"Python Scripting  ,  Selenium WebDriver  ,  OOP in Python  ,  Jenkins  ,  Git"
7,TECHNOPARK TRIVANDRUM,Thiruvananthapuram,Posted 5 days ago,"python  ,  debugging  ,  problem solving  ,  sql"
8,Ivan Infotech Pvt. Ltd.,Kolkata,Posted few days ago,"rest  ,  python  ,  security  ,  debugging"
9,DBS Bank Ltd,Hyderabad/Secunderabad,Posted few days ago,"python  ,  java  ,  infrastructure  ,  software engineering"
10,CONNECTING 2 WORK,Calicut/ Kozhikode,Posted few days ago,"rest  ,  python  ,  django  ,  mongodb"
11,TECHNOPARK TRIVANDRUM,Thiruvananthapuram,Posted 3 days ago,"rest  ,  python  ,  react.js  ,  django  ,  git  ,  infrastructure"
12,dbs asia hub 2,Hyderabad/Secunderabad,Posted few days ago,"python  ,  java  ,  infrastructure  ,  software engineering"
13,brickred  ( 3pillar global ),,Posted few days ago,"software products  ,  Python  ,  DynamoDB"
14,TandA HR Solutions,"Gurgaon,  Chandigarh",Posted few days ago,"python  ,  git  ,  django"
15,BRICKRED TECHNOLOGIES PVT. LTD.,,Posted few days ago,"image processing  ,  python  ,  opencv"
16,BRICKRED TECHNOLOGIES PVT. LTD.,,Posted few days ago,"image processing  ,  python  ,  opencv"
17,BRICKRED TECHNOLOGIES PVT. LTD.,,Posted few days ago,"image processing  ,  python  ,  opencv"
18,LAKSH HUMAN RESOURCE,Mumbai,Posted few days ago,"rest  ,  python  ,  django  ,  git"
19,hk infosoft,Ahmedabad,Posted few days ago,"python  ,  django  ,    ,   framework"
20,TandA HR Solutions,Gurgaon,Posted few days ago,"python  ,  django  ,  sql"
21,Perfios Software Solutions Pvt. Ltd.,Bengaluru / Bangalore,Posted few days ago,"python  ,  java  ,  scala"
22,TandA HR Solutions,Chandigarh,Posted few days ago,"python  ,  git  ,  django"
23,JobsLo Consultants,Indore,Posted few days ago,"python  ,  linux  ,  windows  ,  sql"
24,TandA HR Solutions,Chandigarh,Posted few days ago,"python  ,  git  ,  django"
